chrom	start	end	3	4	5	6	7	3.1	4.1	5.1	6.1	7.1	3.2	4.2	5.2	6.2	7.2	3.3	4.3	5.3	6.3	7.3	3.4	4.4	5.4	6.4	7.4	3.5	4.5	5.5	6.5	7.5	3.6	4.6	5.6	6.6	7.6	3.7	4.7	5.7	6.7	7.7	3.8	4.8	5.8	6.8	7.8	chrom	start	end	3	4	5	6	7	3.1	4.1	5.1	6.1	7.1	3.2	4.2	5.2	6.2	7.2	3.3	4.3	5.3	6.3	7.3	3.4	4.4	5.4	6.4	7.4	3.5	4.5	5.5	6.5	7.5	3.6	4.6	5.6	6.6	7.6	3.7	4.7	5.7	6.7	7.7	3.8	4.8	5.8	6.8	7.8
chr1	1163500	1163999	4.0	0.0	4.0	15.0	41.0	0.0	1.0	5.0	29.0	48.0	0.0	1.0	6.0	33.0	140.0	2.0	0.0	1.0	5.0	61.0	63.0	1.0	0.0	1.0	3.0	0.0	0.0	1.0	12.0	54.0	119.0	1.0	5.0	48.0	283.0	0.0	7.0	8.0	81.0	316.0	106.0	3.0	2.0	13.0	42.0	chr1	1163500	1163999	1.0	1.0	1.0	35.0	108.0	2.0	2.0	5.0	37.0	89.0	0.0	4.0	21.0	97.0	260.0	66.0	5.0	5.0	56.0	187.0	226.0	9.0	1.0	13.0	31.0	0.0	0.0	1.0	14.0	42.0	330.0	5.0	4.0	15.0	58.0	1.0	0.0	1.0	16.0	75.0	52.0	0.0	0.0	6.0	25.0
chr1	1788000	1788499	4.0	1.0	0.0	3.0	6.0	2.0	1.0	0.0	3.0	5.0	26.0	7.0	0.0	5.0	8.0	0.0	0.0	0.0	2.0	8.0	0.0	0.0	0.0	2.0	13.0	2.0	4.0	0.0	2.0	5.0	2.0	7.0	0.0	20.0	52.0	12.0	4.0	0.0	13.0	31.0	1.0	1.0	0.0	15.0	19.0	chr1	1788000	1788499	9.0	1.0	0.0	11.0	17.0	1.0	6.0	0.0	12.0	18.0	50.0	11.0	0.0	4.0	3.0	6.0	0.0	0.0	6.0	25.0	4.0	2.0	1.0	16.0	40.0	3.0	1.0	0.0	4.0	4.0	0.0	1.0	0.0	12.0	52.0	5.0	1.0	0.0	7.0	11.0	1.0	0.0	0.0	4.0	7.0
chr1	4584500	4584999	11.0	1.0	0.0	6.0	10.0	7.0	6.0	0.0	8.0	6.0	22.0	3.0	0.0	13.0	31.0	2.0	2.0	0.0	5.0	19.0	3.0	2.0	0.0	8.0	20.0	19.0	1.0	0.0	1.0	1.0	8.0	2.0	0.0	18.0	76.0	10.0	5.0	0.0	14.0	65.0	5.0	1.0	0.0	17.0	48.0	chr1	4584500	4584999	8.0	3.0	0.0	18.0	40.0	6.0	8.0	0.0	11.0	19.0	41.0	17.0	0.0	15.0	32.0	2.0	6.0	0.0	15.0	55.0	5.0	11.0	0.0	12.0	44.0	21.0	7.0	0.0	1.0	0.0	1.0	1.0	0.0	14.0	48.0	1.0	0.0	0.0	3.0	24.0	4.0	2.0	0.0	5.0	21.0
chr1	5813000	5813499	0.0	0.0	1.0	0.0	10.0	0.0	0.0	0.0	7.0	8.0	0.0	0.0	1.0	4.0	23.0	0.0	2.0	0.0	0.0	9.0	13.0	1.0	0.0	0.0	4.0	0.0	0.0	0.0	2.0	13.0	3.0	0.0	0.0	9.0	32.0	0.0	0.0	1.0	3.0	27.0	3.0	5.0	3.0	8.0	14.0	chr1	5813000	5813499	0.0	0.0	2.0	2.0	22.0	1.0	0.0	3.0	13.0	21.0	0.0	0.0	0.0	6.0	33.0	0.0	0.0	0.0	7.0	26.0	22.0	1.0	0.0	1.0	3.0	0.0	0.0	0.0	5.0	13.0	17.0	1.0	3.0	4.0	7.0	0.0	0.0	0.0	1.0	14.0	4.0	4.0	1.0	6.0	7.0
chr1	6689000	6689499	0.0	1.0	0.0	6.0	12.0	13.0	2.0	0.0	1.0	4.0	0.0	1.0	0.0	8.0	43.0	0.0	0.0	0.0	0.0	17.0	0.0	2.0	0.0	6.0	13.0	0.0	1.0	0.0	2.0	10.0	0.0	3.0	0.0	13.0	96.0	19.0	4.0	0.0	11.0	53.0	1.0	4.0	0.0	14.0	28.0	chr1	6689000	6689499	0.0	1.0	0.0	13.0	24.0	16.0	4.0	0.0	5.0	14.0	0.0	5.0	0.0	18.0	49.0	0.0	2.0	0.0	19.0	52.0	0.0	10.0	0.0	26.0	47.0	0.0	0.0	0.0	4.0	12.0	0.0	4.0	0.0	20.0	57.0	6.0	0.0	0.0	4.0	16.0	0.0	0.0	0.0	4.0	11.0
chr1	8623500	8623999	16.0	3.0	1.0	6.0	15.0	2.0	2.0	0.0	4.0	22.0	8.0	4.0	0.0	9.0	39.0	17.0	5.0	0.0	2.0	7.0	0.0	1.0	0.0	8.0	19.0	1.0	5.0	1.0	6.0	12.0	35.0	6.0	0.0	3.0	9.0	55.0	3.0	1.0	5.0	3.0	8.0	4.0	0.0	21.0	28.0	chr1	8623500	8623999	39.0	9.0	1.0	5.0	17.0	14.0	4.0	1.0	12.0	38.0	9.0	9.0	1.0	16.0	37.0	31.0	12.0	1.0	15.0	9.0	1.0	7.0	2.0	18.0	25.0	3.0	7.0	1.0	2.0	13.0	67.0	9.0	1.0	4.0	2.0	15.0	0.0	0.0	6.0	3.0	1.0	6.0	0.0	9.0	15.0
chr1	9046000	9046499	0.0	2.0	0.0	2.0	13.0	0.0	1.0	0.0	4.0	11.0	0.0	0.0	0.0	6.0	32.0	0.0	0.0	0.0	0.0	15.0	0.0	1.0	0.0	1.0	13.0	1.0	2.0	0.0	0.0	7.0	7.0	1.0	0.0	1.0	20.0	1.0	0.0	0.0	1.0	22.0	0.0	3.0	0.0	10.0	29.0	chr1	9046000	9046499	0.0	0.0	0.0	5.0	34.0	0.0	0.0	0.0	1.0	9.0	0.0	1.0	0.0	4.0	32.0	0.0	0.0	0.0	7.0	27.0	0.0	1.0	0.0	5.0	22.0	2.0	0.0	0.0	4.0	4.0	32.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	1.0	20.0	0.0	1.0	0.0	4.0	12.0
chr1	9278000	9278499	13.0	4.0	1.0	2.0	4.0	3.0	2.0	1.0	11.0	19.0	19.0	9.0	1.0	7.0	50.0	19.0	2.0	0.0	2.0	4.0	0.0	0.0	0.0	4.0	16.0	3.0	6.0	4.0	6.0	11.0	4.0	7.0	5.0	9.0	49.0	35.0	6.0	5.0	6.0	22.0	1.0	7.0	2.0	10.0	54.0	chr1	9278000	9278499	31.0	7.0	4.0	5.0	5.0	6.0	2.0	3.0	10.0	27.0	15.0	16.0	4.0	6.0	33.0	23.0	6.0	1.0	11.0	26.0	6.0	2.0	1.0	19.0	37.0	7.0	5.0	0.0	1.0	10.0	3.0	1.0	9.0	29.0	72.0	2.0	1.0	1.0	4.0	14.0	1.0	0.0	0.0	6.0	26.0
chr1	10778000	10778499	2.0	0.0	1.0	3.0	17.0	0.0	0.0	1.0	7.0	27.0	2.0	5.0	6.0	13.0	33.0	0.0	1.0	1.0	2.0	19.0	0.0	1.0	3.0	6.0	22.0	0.0	1.0	0.0	6.0	25.0	31.0	1.0	0.0	19.0	111.0	2.0	2.0	1.0	21.0	124.0	30.0	5.0	1.0	7.0	21.0	chr1	10778000	10778499	0.0	0.0	2.0	7.0	58.0	0.0	1.0	1.0	9.0	31.0	6.0	5.0	12.0	37.0	50.0	0.0	4.0	7.0	18.0	86.0	0.0	5.0	9.0	38.0	83.0	1.0	0.0	1.0	5.0	27.0	80.0	1.0	1.0	5.0	6.0	0.0	1.0	0.0	6.0	24.0	20.0	4.0	0.0	0.0	3.0
